CURRENCY_CODE,GROSS_AMOUNT,LIFECYCLE_STATUS,NET_AMOUNT,NODE_KEY,NOTE,OVERALL_STATUS,PARTNER_GUID_NODE_KEY,PO_ID,TAX_AMOUNT
EUR,3913.91,N,3289,74867AD200E41EDBA5D8B0C98DC28052,,P,74867AD200E41EDBA5D8B06885B04052,300000000,624.91
EUR,43534.96,N,36584,74867AD200E41EDBA5D8B0C98DC2A052,,P,74867AD200E41EDBA5D8B06885AE0052,300000001,6950.96
EUR,18142.74,N,15246,74867AD200E41EDBA5D8B0C98DC2C052,,P,74867AD200E41EDBA5D8B06885B08052,300000002,2896.74
EUR,6251.07,N,5253,74867AD200E41EDBA5D8B0C98DC2E052,,P,74867AD200E41EDBA5D8B06885ACA052,300000003,998.07
EUR,4467.94,N,3754.57,74867AD200E41EDBA5D8B0C98DC30052,,P,74867AD200E41EDBA5D8B06885AB8052,300000004,713.37
EUR,6362.89,N,5346.96,74867AD200E41EDBA5D8B0C98DC32052,,P,74867AD200E41EDBA5D8B06885AB4052,300000005,1015.93
EUR,4348.26,N,3654,74867AD200E41EDBA5D8B0C98DC34052,,P,74867AD200E41EDBA5D8B06885AD2052,300000006,694.26
EUR,1857.5,N,1560.92,74867AD200E41EDBA5D8B0C98DC36052,,P,74867AD200E41EDBA5D8B06885AFE052,300000007,296.58
EUR,2791.74,N,2346,74867AD200E41EDBA5D8B0C98DC38052,,P,74867AD200E41EDBA5D8B06885AD0052,300000008,445.74
EUR,1427.76,N,1199.8,74867AD200E41EDBA5D8B0C98DC3A052,,P,74867AD200E41EDBA5D8B06885AC6052,300000009,227.96
EUR,7261.38,N,6102,74867AD200E41EDBA5D8B0C98DC3C052,,P,74867AD200E41EDBA5D8B06885AD6052,300000010,1159.38
EUR,475.52,N,399.6,74867AD200E41EDBA5D8B0C98DC3E052,,P,74867AD200E41EDBA5D8B06885AF8052,300000011,75.92
EUR,15621.13,N,13127,74867AD200E41EDBA5D8B0C98DC40052,,P,74867AD200E41EDBA5D8B06885AE8052,300000012,2494.13
EUR,6320.04,N,5310.95,74867AD200E41EDBA5D8B0C98DC42052,,P,74867AD200E41EDBA5D8B06885AB4052,300000013,1009.09
EUR,239.19,N,201,74867AD200E41EDBA5D8B0C98DC44052,,P,74867AD200E41EDBA5D8B06885AF6052,300000014,38.19
EUR,13075.83,N,10988.1,74867AD200E41EDBA5D8B0C98DC46052,,P,74867AD200E41EDBA5D8B06885ACC052,300000015,2087.73
EUR,1942.08,N,1632,74867AD200E41EDBA5D8B0C98DC48052,,P,74867AD200E41EDBA5D8B06885ADC052,300000016,310.08
EUR,117.8,N,98.99,74867AD200E41EDBA5D8B0C98DC4A052,,P,74867AD200E41EDBA5D8B06885AB4052,300000017,18.81
EUR,19813.5,N,16650,74867AD200E41EDBA5D8B0C98DC4C052,,P,74867AD200E41EDBA5D8B06885ABE052,300000018,3163.5
EUR,8448.47,N,7099.56,74867AD200E41EDBA5D8B0C98DC4E052,,P,74867AD200E41EDBA5D8B06885AB8052,300000019,1348.91
EUR,3980.08,N,3344.6,74867AD200E41EDBA5D8B0C98DC50052,,P,74867AD200E41EDBA5D8B06885AFA052,300000020,635.48
EUR,7625.52,N,6408,74867AD200E41EDBA5D8B0C98DC52052,,P,74867AD200E41EDBA5D8B06885ABE052,300000021,1217.52
EUR,1535.1,N,1290,74867AD200E41EDBA5D8B0C98DC54052,,P,74867AD200E41EDBA5D8B06885AD0052,300000022,245.1
EUR,1624.35,N,1365,74867AD200E41EDBA5D8B0C98DC56052,,P,74867AD200E41EDBA5D8B06885B04052,300000023,259.35
EUR,13781.39,N,11581,74867AD200E41EDBA5D8B0C98DC58052,,P,74867AD200E41EDBA5D8B06885AC0052,300000024,2200.39
EUR,47582.15,N,39985,74867AD200E41EDBA5D8B0C98DC5A052,,P,74867AD200E41EDBA5D8B06885AE0052,300000025,7597.15
EUR,18190.34,N,15286,74867AD200E41EDBA5D8B0C98DC5C052,,P,74867AD200E41EDBA5D8B06885AE6052,300000026,2904.34
EUR,9182.04,N,7716,74867AD200E41EDBA5D8B0C98DC5E052,,P,74867AD200E41EDBA5D8B06885AB2052,300000027,1466.04
EUR,5806.01,N,4879,74867AD200E41EDBA5D8B0C98DC60052,,P,74867AD200E41EDBA5D8B06885B06052,300000028,927.01
EUR,1626.37,N,1366.7,74867AD200E41EDBA5D8B0C98DC62052,,P,74867AD200E41EDBA5D8B06885AC6052,300000029,259.67
EUR,2691.78,N,2262,74867AD200E41EDBA5D8B0C98DC64052,,P,74867AD200E41EDBA5D8B06885B04052,300000030,429.78
EUR,4950.4,N,4160,74867AD200E41EDBA5D8B0C98DC66052,,P,74867AD200E41EDBA5D8B06885AE8052,300000031,790.4
EUR,12020.19,N,10101,74867AD200E41EDBA5D8B0C98DC68052,,P,74867AD200E41EDBA5D8B06885AE6052,300000032,1919.19
EUR,71973.58,N,60482,74867AD200E41EDBA5D8B0C98DC6A052,,P,74867AD200E41EDBA5D8B06885AE2052,300000033,11491.58
EUR,8751.26,N,7354,74867AD200E41EDBA5D8B0C98DC6C052,,P,74867AD200E41EDBA5D8B06885B08052,300000034,1397.26
EUR,4938.5,N,4150,74867AD200E41EDBA5D8B0C98DC6E052,,P,74867AD200E41EDBA5D8B06885AEC052,300000035,788.5
EUR,3227.24,N,2711.97,74867AD200E41EDBA5D8B0C98DC70052,,P,74867AD200E41EDBA5D8B06885AF2052,300000036,515.27
EUR,8542.94,N,7178.94,74867AD200E41EDBA5D8B0C98DC72052,,P,74867AD200E41EDBA5D8B06885AF0052,300000037,1364
EUR,3485.98,N,2929.4,74867AD200E41EDBA5D8B0C98DC74052,,P,74867AD200E41EDBA5D8B06885AC6052,300000038,556.58
EUR,6127.29,N,5148.98,74867AD200E41EDBA5D8B0C98DC76052,,P,74867AD200E41EDBA5D8B06885AB4052,300000039,978.31
EUR,13274.68,N,11155.2,74867AD200E41EDBA5D8B0C98DC78052,,P,74867AD200E41EDBA5D8B06885AC4052,300000040,2119.48
